english,tense_en,gd
this year,any,am bliadhna
again,any,a-rithist
never,any,a-riamh
tomorrow,future,a-màireach
tonight,future,a-nochd
the day after tomorrow,future,an earar
soon,future,a dh’aithghearr
sometimes,habitual,uireannan
often,habitual,tric
always,habitual,daonnan
all the time,habitual,fad na tìde
yesterday,past,an-dè
last night,past,an-raoir
the day before yesterday,past,a’ bhon-dè
last year,past,an-uiridh
already,past,ma-thà
today,present,an diugh
just now,present,an-drasta
right now,present,an-drasta fhèin
now,present,a-nis
