english,nom_sing,gender
cheese,càise,masc
bread,aran,masc
salt,salann,masc
pepper,pìobar,masc
soup,brot,masc
porridge,brochan,masc
rice,rus,masc
egg,ugh,masc
butter,ìm,masc
cake,cèic,fem
sweets,suiteas,masc
ice cream,reòiteag,fem
scone,sgona,fem
tattie scone,sgona buntàta,fem
chips,tiops,masc
oil,ola,fem
jam,silidh,masc
pancakes,foileagan,fem
sauce,sabhs,masc
curry sauce,sabhs coiridh,masc
curry,coiridh,masc
biscuit,briosgaid,fem
sandwich,ceapaire,masc
pizza,piotsa,masc
roll,roile,masc
shortbread,aran-milis,masc
black pudding,marag-dhubh,fem
white pudding,marag-gheal,fem
