english,nom_sing,nom_pl,gender
head,ceann,cinn,masc
hair,falt,fuiltean,masc
face,aodann,aodainnean,masc
eye,sùil,sùilean,fem
ear,cluas,cluasan,fem
nose,sròn,sròintean,fem
mouth,beul,beòil,masc
tooth,fiacail,fiaclan,fem
chin,smiogaid,smiogaidean,masc
moustache,stais,staisean,fem
neck,amhaich,amhaichean,fem
throat,sgòrnan,sgòrnanan,masc
shoulder,gualann,guailnean,fem
back,druim,dromannan,masc
arm,gàirdean,gàirdeanan,masc
elbow,uileann,uileanan,fem
hand,làmh,làmhan,fem
finger,corrag,corragan,fem
thumb,òrdag,òrdagan,fem
chest,broilleach,broillichean,masc
stomach,stamag,stamagan,fem
foot,cas,casan,fem
knee,glùn,gluintean,fem
