english,nom_sing,nom_pl,gender
hat,ad,adan,fem
bonnet,bonaid,bonaidean,fem
kilt,fèileadh,fèilidhean,masc
skirt,sgiort,sgiortan,fem
shirt,lèine,lèintean,fem
jumper,geansaidh,geansaidhean,masc
t-shirt,lèine-t,lèintean-t,fem
sock,stocainn,stocainnean,fem
shoe,bròg,brògan,fem
trousers,briogais,briogaisean,fem
dress,dreasa,dreasaichean,fem
underwear,drathais,drathaisean,fem
bra,brà,bràthan,masc
jacket,seacaid,seacaidean,fem
coat,còta,còtaichean,masc
glove,miotag,miotagan,fem
scarf,sgarfa,sgarfaichean,fem
welly boot,bòtann,bòtannan,masc
watch,uaireadair,uaireadairean,masc
shorts,briogais ghoirid,briogaisean ghoirid,fem
belt,crios,criosan,masc
suit,deise,deiseachan,fem
