english,nom_sing,gender
Mairi,Màiri,fem
Iain,Iain,masc
Anna,Anna,fem
Rachel,Raonaid,fem
Una,Ùna,fem
Andrew,Anndra,masc
Alasdair,Alasdair,masc
Angus,Aonghas,masc
Archie,Eàrdsaidh,masc
Beth,Beathag,fem
Callum,Calum,masc
Catriona,Catrìona,fem
Charles,Teàrlach,masc
Elisabeth,Ealasaid,fem
Colin,Cailean,masc
David,Daibhidh,masc
Donald,Dòmhnall,masc
Ruairidh,Ruairidh,masc
Effie,Oighrig,fem
Fergus,Fearghas,masc
Finlay,Fionnlagh,masc
Flora,Flòraidh,fem
George,Seòras,masc
Eilidh,Eilidh,fem
Isabel,Iseabail,fem
James,Seumas,masc
Janet,Seònaid,fem
Johnny,Seonaidh,masc
Joseph,Eòsaph,masc
Julie,Sìleas,fem
Katie,Ceiteag,fem
Kirsty,Ciorstaidh,fem
Margaret,Mairead,fem
Marjory,Marsaili,fem
Martin,Màrtainn,masc
Michael,Mìcheal,masc
Morag,Mòrag,fem
Neil,Niall,masc
Norman,Tormod,masc
Peter,Pàdraig,masc
Peggy,Peigi,fem
Thomas,Tòmas,masc
William,Uilleim,masc
