english,place_gd,gender
the Highlands,a’ Ghàidhealtachd,fem
the Lowlands,a’ Ghalltachd,fem
Bannockburn,Allt a’ Bhonnaich,masc
Plockton,am Ploc,masc
Aviemore,an Aghaidh Mhòr,fem
Falkirk,an Eaglais Bhreac,fem
Fort William,an Gearasdan,masc
the Black Isle,an t-Eilean Dubh,masc
the Isle of Skye,An t-Eilean Sgitheanach,masc
Oban,an t-Òban,masc
Arran,Arainn,fem
Orkney,Arcaibh,?
Govan,Baile a’ Ghobhainn,masc
Pitlochry,Baile Chloichrigh,masc
Balmoral,Baile Mhoireal,masc
Barra,Barraigh,masc
Berwick,Bearaig,?
Benbecula,Beinn na Fadhla,?
Vatersay,Bhatarsaigh,masc
Blair Atholl,Blàr an Athaill,?
Bowmore,Bogha Mòr,masc
Braemar,Bràigh Mhàrr,?
Callanish,Calanais,masc
Kyle of Lochalsh,Caol Loch Aillse,masc
Kinlochleven,Ceann Loch Lìobhann,masc
Killin,Cill Fhinn,fem
St Andrews,Cill Rìmhinn,fem
East Kilbride,Cille Bhrìghde an Ear,fem
Kilmarnock,Cille Mheàrnaig,fem
Cumbernauld,Comar nan Allt,masc
Crieff,Craoibh,?
Culloden,Cùill Lodair,?
Jura,Diùra,masc
Dunblane,Dùn Blathain,masc
Dumbarton,Dùn Breatann,masc
Dunkeld,Dùn Chailleann,masc
Dundee,Dùn Dèagh,masc
Edinburgh,Dun Èidinn,masc
Dunfermline,Dùn Phàrlain,masc
Dumfries,Dùn Phris,masc
Argyle,Earra-Ghàidheal,masc
Eigg,Eige,?
the Isle of Bute,Eilean Bhòid,masc
Eriskay,Èirisgeigh,?
Fife,Fìobha,?
Galloway,Gall-Ghàidhealaibh,?
Glasgow,Glaschu,masc
Glencoe,Gleann Comhann,masc
Greenock,Grianaig,masc
Islay,Ìle,fem
Ayr,Inbhir Àir,masc
Inveraray,Inbhir Aora,masc
Nairn,Inbhir Narann,masc
Inverness,Inbhir Nis,masc
Dingwall,Inbhir Pheofharain,masc
the Hebrides,Innse Gall,?
Lanark,Lannraig,?
Lewis,Leòdhas,masc
Lismore,Lios Mòr,masc
Leith,Lìte,?
Lochaber,Loch Abar,masc
Mallaig,Malaig,masc
Mull,Muile,masc
the Borders,na Crìochan,fem
Harris,na Hearadh,?
Aberdeen,Obar Dheathainn,masc
Aberfeldy,Obar Pheallaidh,?
Aberfoyle,Obar Phuill,?
Paisley,Pàslig,masc
Perth,Peairt,masc
Portree,Port Righ,masc
Raasay,Ratharsair,?
Rum,Rùm,?
Shetland,Sealtainn,?
Scalpay,Sgalpaigh,masc
Stirling,Sruighlea,masc
Stornoway,Steòrnabhagh,masc
Torridon,Toirbheartan,masc
Uist,Uibhist,fem
