english,nom_sing
bank,banca
police station,stèisean a’ phoileis
post office,oifis-phuist
office,oifis
shop,bùth
university,oilthigh
hotel,taigh-òsta
hostel,ostail
market,margadh
church,eaglais
house,taigh
library,leabharlann
museum,taigh-tasgaidh
theatre,Talla-cluiche
cinema,taigh-dealbh
prison,prìosan
station,stèisean
bus stop,stad-bus
street,sràid
café,cafaidh
college,colaiste
park,pàirc
distillery,taigh-staile
hospital,ospadal
pub,taigh-seinnse
airport,port-adhar
tenement,teanamant
flat,flat
