english,place_gd,gender
Scotland,Alba,fem
England,Sasainn,fem
Wales,a’ Chuimrigh,fem
Ireland,Èirinn,fem
Northern Ireland,Èirinn a Tuath,fem
Britain,Breatainn,fem
the UK,an Rìoghachd Aonaichte,masc
Iceland,Innis Tìle,fem
Norway,Nirribhidh,fem
Finland,an Fhionnlann,fem
Sweden,an t-Suain,fem
Denmark,an Danmhairg,fem
Cornwall,a’ Chòrn,fem
France,an Fhraing,fem
Germany,a’ Ghearmailt,fem
Spain,an Spàinn,fem
Italy,an Eadailt,fem
Poland,a’ Phòlann,fem
China,Sìona,fem
Japan,Iapan,fem
Russia,an Ruis,fem
Greece,a’ Ghrèic,fem
Turkey,an Tuirc,fem
Belgium,a’ Bheilg,fem
Switzerland,an Eilbheis,fem
Austria,an Ostair,fem
Australia,Astràlia,fem
Brittany,a’ Bhreatainn,fem
Europe,an Roinn Eòrpa,fem
South Africa,Afraga a Deas,fem
Canada,Canada,fem
Nova Scotia,Alba Nuadh,fem
Egypt,an Èipheit,fem
Portugal,Portagail,fem
Scandinavia,Lochlann,fem
