english,en_past,en_vn,root,verbal_noun
play,played,playing,cluich,cluiche
walk,walked,walking,coisich,coiseachd
run,ran,running,ruith,ruith
climb,climbed,climbing,sreap,sreap
swim,swam,swimming,snàmh,snàmh
read,read,reading,leugh,leughadh
write,wrote,writing,sgrìobh,sgrìobhadh
throw,threw,throwing,tilg,tilgeil
kick,kicked,kicking,breab,breabadh
catch,caught,catching,glac,glacadh
jump,jumped,jumping,leum,leumadh
ski,skied,skiing,sgìthich,sgìtheadh
knit,knitted,knitting,figh,fighe
sail,sailed,sailing,seòl,seòladh
surf,surfed,surfing,surfaich,surfadh
fish,fished,fishing,iasgaich,iasgach
