english,en_past,verbal_noun_en,root,verbal_noun_gd,past,past_neg,past_q,past_q_neg,future,future_neg,future_q,future_q_neg
say,said,saying,abair,ag ràdh,thuirt,cha tuirt,an tuirt,nach tuirt,canaidh,cha chan,an can,nach can
see,saw,seeing,faic,a’ faicinn,chunnaic,chan fhaca,am faca,nach fhaca,chì,chan fhaic,am fhaic,nach fhaic
get,got,getting,faigh,a’ faighinn,fhuair,cha d’ fhuair,an d’ fhuair,nach d’ fhuar,gheibh,chan fhaigh,am faigh,nach fhaigh
find,found,finding,faigh,a’ faighinn,fhuair,cha d’ fhuair,an d’ fhuair,nach d’ fhuar,gheibh,chan fhaigh,am faigh,nach fhaigh
go,went,going,rach,a’ dol,chaidh,cha deach,an deach,nach deach,thèid,cha tèid,an tèid,nach tèid
come,came,coming,thig,a’ tighinn,thàinig,cha tàinig,an tàinig,nach tàinig,thig,cha tig,can tig,nach tig
bring,brought,bringing,thoir,a’ toirt,thug,cha tug,an tug,nach tug,bheir,cha toir,an toir,nach toir
take,took,taking,thoir,a’ toirt,thug,cha tug,an tug,nach tug,bheir,cha toir,an toir,nach toir
give,gave,giving,thoir,a’ toirt,thug,cha tug,an tug,nach tug,bheir,cha toir,an toir,nach toir
do,did,doing,dèan,a’ dèanamh,rinn,cha do rinn,an do rinn,nach do rinn,nì,cha dèan,an dèan,nach dèan
make,made,making,dèan,a’ dèanamh,rinn,cha do rinn,an do rinn,nach do rinn,nì,cha dèan,an dèan,nach dèan
carry,carried,carrying,beir,a’ breith,rug,cha do rug,an do rug,nach do rug,beiridh,cha bheir,am beir,nach beir
hear,heard,hearing,cluinn,a’ cluinntinn,chuala,cha chuala,an cuala,nach cuala,cluinnidh,chluinn,cluinn,cluinn
reach,reached,reaching,ruig,a’ ruighinn,ràinig,cha do ràinig,an do ràinig,nach do ràinig,ruigidh,cha ruig,an ruig,nach ruig
